submodule,normalised_direct_deps,normalised_transitive_deps
bes2008__sqlhelper_sqlhelper-mybatisplus_2x,0.0,0.0
bes2008__sqlhelper_sqlhelper-mybatisplus_2x-spring-boot-starter,0.0,0.0
bes2008__sqlhelper_sqlhelper-springjdbc,0.0,0.0
bes2008__sqlhelper_sqlhelper-springjdbc-spring-boot-starter,0.0,0.0
bes2008__sqlhelper_sqlhelper-tkmapper-spring-boot-starter,0.0,0.0
binarywang__java-emoji-converter_binarywang__java-emoji-converter,0.0,0
binarywang__java-testdata-generator_binarywang__java-testdata-generator,0.0,0
binarywang__weixin-java-miniapp-demo_binarywang__weixin-java-miniapp-demo,0.0,0.0
binarywang__WxJava_weixin-graal,0.0,0
binarywang__WxJava_weixin-java-qidian,0.0,0.0
binarywang__WxJava_wx-java-channel-multi-solon-plugin,0.0,0.0
binarywang__WxJava_wx-java-channel-multi-spring-boot-starter,0.0,0.0
binarywang__WxJava_wx-java-channel-solon-plugin,0.0,0.0
binarywang__WxJava_wx-java-channel-spring-boot-starter,0.0,0.0
binarywang__WxJava_wx-java-cp-multi-solon-plugin,0.0,0.0
binarywang__WxJava_wx-java-cp-multi-spring-boot-starter,0.0,0.0
binarywang__WxJava_wx-java-cp-solon-plugin,0.0,0.0
binarywang__WxJava_wx-java-cp-spring-boot-starter,0.0,0.0
binarywang__WxJava_wx-java-miniapp-multi-solon-plugin,0.0,0.0
binarywang__WxJava_wx-java-miniapp-multi-spring-boot-starter,0.0,0.0
binarywang__WxJava_wx-java-miniapp-solon-plugin,0.0,0.0
