Project,Total_Breaking_Changes,Used_Breaking_Changes,Binary_Compatibility_Rate,Source_Compatibility_Rate,Transitive_Changes,Usage_Rate
aizuda__snail-job_snail-job-mariadb-datasource,668,0,0.625748502994012,0.0,406,0.0
aizuda__snail-job_snail-job-server-common,678,0,0.2359882005899705,0.0,340,0.0
aizuda__snail-job_snail-job-server-job-task,312,0,0.09615384615384616,0.0,210,0.0
aizuda__snail-job_snail-job-server-openapi,447,0,0.174496644295302,0.0,345,0.0
aizuda__snail-job_snail-job-server-retry-task,312,0,0.09615384615384616,0.0,210,0.0
aizuda__snail-job_snail-job-server-service,657,0,0.1354642313546423,0.0,555,0.0
aizuda__snail-job_snail-job-server-starter,1304,0,0.02530674846625767,0.0,1304,0.0
aizuda__snail-job_snail-job-server-ui,210,0,0.05238095238095238,0.0,210,0.0
aizuda__snail-job_snail-job-server-web,657,0,0.1354642313546423,0.0,555,0.0
alibaba__java-dns-cache-manipulator_library,940,0,0.06382978723404255,0.0,869,0.0
alibaba__java-dns-cache-manipulator_tool,940,0,0.06382978723404255,0.0,869,0.0
alibaba__transmittable-thread-local_ttl-agent,1451,0,0.08063404548587182,0.0,1368,0.0
alibaba__transmittable-thread-local_ttl-core,1451,0,0.08063404548587182,0.0,1368,0.0
